附表3:系统功能点计数表,,,,,,,,,,,,,
序号,子系统,一级功能模块,功能模块名称,事务事项编号及名称,功能名称,数据类型,是否计算,,调整复用度后的分值,复用度,,是否实现,
,,,,,总　计,,分值,计算,,,,,
,,,,,,,1284,,428,,,,
1,,基于隐私计算的数据可信共享,用户管理,"载货货车通行证管理
危化品运输车辆通行证管理
交通违法罚款缴纳
高速公路节假日危险货物运输车辆通行管理
高速公路剧毒化学品运输车辆通行管理
重点道路运输企业驾驶人安全宣传教育
办理注销机动车驾驶证
线上办理机动车驾驶人考试预约
线上办理机动车驾驶人满分教育
办理驾驶证实物档案与电子档案查询
窗口办理机动车驾驶证业务故障上报
窗口办理机动车驾驶证业务故障处理
线上办理机动车驾驶证业务故障上报
线上办理机动车驾驶证业务故障处理
社会单位办理机动车驾驶证业务故障上报
社会单位办理机动车驾驶证业务故障处理
线上办理核发免检车检验合格标志
线上办理机动车电子信息卡补领
办理机动车实物档案与电子档案查询
窗口办理机动车业务故障上报
窗口办理机动车业务故障处理
线上办理机动车业务故障上报
线上办理机动车业务故障处理
社会单位办理机动车业务故障上报
社会单位办理机动车业务故障处理
线上办理电动自行车号牌补领
窗口办理非机动车业务故障上报
窗口办理非机动车业务故障处理
线上办理非机动车业务故障上报
线上办理非机动车业务故障处理
社会单位办理非机动车业务故障上报
社会单位办理非机动车业务故障处理
线上机动车业务预约
线上驾驶证业务预约
线上驾驶证信息查询
线上机动车信息查询
线上机动车管理部门查询
线上规费缴纳
交管业务网点查询
交管业务网办进度
交管便民服务业务故障上报
交管便民服务业务故障处理
户政电子签章申请信息采集
户政电子签章申请信息维护
户政电子签章授权
户政电子签章申请查询
户政电子签章授权信息维护
户政电子签章授权信息查询
户政电子签章授权注销信息查询
户口簿电子证照库日常运维管理
户口簿电子证照生成
户口簿电子证照加盖电子印章
户口簿电子证照查询
户口簿电子证照打印
户口簿电子证照接口服务
居民身份证电子证照库日常运维管理
居民身份证电子证照生成
居民身份证电子证照加盖电子印章
居民身份证电子证照查询
居民身份证电子证照打印
居民身份证电子证照接口服务
临时身份证明电子证照库日常运维管理
临时身份证明电子证照查询
临时身份证明电子证照打印
临时身份证明电子证照接口服务
户籍信息证明电子证照库日常运维管理
户籍信息证明电子证照查询
户籍信息证明电子证照打印
户籍信息证明电子证照接口服务
非正常死亡证明电子证照库日常运维管理
非正常死亡证明电子证照查询
非正常死亡证明电子证照打印
非正常死亡证明电子证照接口服务
出生医学证明电子证照库日常运维管理
出生医学证明电子证照接收服务
出生医学证明电子证照查询
出生医学证明电子证照打印
出生医学证明电子证照接口服务
不动产证明电子证照库日常运维管理
不动产证明电子证照接收服务
不动产证明电子证照查询
不动产证明电子证照打印
不动产证明电子证照接口服务
学历证明电子证照库日常运维管理
学历证明电子证照接收服务
学历证明电子证照查询
学历证明电子证照打印
学历证明电子证照接口服务
婚姻登记证明电子证照库日常运维管理
婚姻登记证明电子证照接收服务
婚姻登记证明电子证照查询
婚姻登记证明电子证照打印
婚姻登记证明电子证照接口服务
工商营业执照证明电子证照库日常运维管理
工商营业执照证明电子证照接收服务
工商营业执照证明电子证照查询
工商营业执照证明电子证照打印
工商营业执照证明电子证照接口服务
电子证照动态分析
电子身份证生成
电子居住证生成
电子行驶证生成
电子户口簿生成
电子保安员证生成
电子犬证生成
电子身份证调用场景核验
电子行驶证调用场景核验
电子户口簿调用场景核验
电子保安员证调用场景核验
电子犬证调用场景核验
电子身份证返回
电子居住证返回
电子行驶证返回
电子户口簿返回
电子保安员证返回
电子犬证返回
电子身份证共享接入管理
电子居住证共享接入管理
电子行驶证共享接入管理
电子户口簿共享接入管理
电子保安员证共享接入管理
电子犬证共享接入管理
车驾管业务统计
公安电子证照共享统计
车辆理赔查询",新增用户,EI,4,1,1.33 ,1,,否,数据安全
2,,,,,删除用户,EI,4,1,1.33 ,1,,否,数据安全
3,,,,,冻结用户,EI,4,1,1.33 ,1,,否,数据安全
4,,,,,用户列表展示,EQ,4,1,1.33 ,1,,否,数据安全
5,,,,,用户角色绑定,EI,4,1,1.33 ,1,,否,数据安全
6,,,,,用户角色解绑,EI,4,1,1.33 ,1,,否,数据安全
7,,,白名单,,增加白名单,EI,4,1,1.33 ,1,,否,数据安全
8,,,,,删除白名单,EI,4,1,1.33 ,1,,否,数据安全
